Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
2,0,Diamond Faerie,Coldsnap,128,Near Mint,English,,,,,,,,
1,0,Dig Through Time,Khans of Tarkir,36,Near Mint,English,,,,,,,,
1,0,Diluvian Primordial,Gatecrash,33,Near Mint,English,,,,,,,,
1,0,Din of the Fireherd,Shadowmoor,184,Near Mint,Japanese,,,,,,,,
3,0,Diregraf Ghoul,Innistrad,97,Near Mint,English,foil,,,,,,,
5,0,Dismember,New Phyrexia,57,Near Mint,English,,,,,,,,
4,0,Dispatch,New Phyrexia,7,Near Mint,English,,,,,,,,
1,0,Divination,Magic 2013,47,Near Mint,English,foil,,,,,,,
2,0,Divine Deflection,Avacyn Restored,18,Near Mint,English,,,,,,,,
1,0,Divinity of Pride,Modern Masters,188,Near Mint,English,,,,,,,,
1,0,Djinn Illuminatus,Guildpact,142,Near Mint,English,,,,,,,,
4,4,Djinn of Wishes,Magic 2010,50,Near Mint,Chinese,,,,,,,,
1,1,Djinn of Wishes,Magic 2012,51,Near Mint,Chinese,,,,,,,,0
2,0,Doom Blade,Magic 2012,95,Near Mint,English,,,,,,,,
2,0,Doomed Traveler,Duel Decks: Sorin vs. Tibalt,2,Near Mint,English,,,,,,,,
1,0,Doubling Cube,Tenth Edition,321,Near Mint,English,,,,,,,,
1,0,Dragon Appeasement,Alara Reborn,115,Near Mint,English,foil,,,,,,,
1,0,Dragon Broodmother,Alara Reborn,53,Near Mint,English,,,,,,,,
1,1,Dragon Broodmother,Alara Reborn,53,Near Mint,Chinese,,,,,,,,0
1,0,Dragonmaster Outcast,Battle for Zendikar,144,Near Mint,English,,,,,,,,
1,0,Dragonscale General,Fate Reforged,11,Near Mint,English,,,,,,,,
1,0,Dragonskull Summit,Magic 2010,223,Near Mint,English,,,,,,,,
7,0,Dragonskull Summit,Magic 2011,223,Near Mint,English,,,,,,,,
2,0,Dragonskull Summit,Magic 2012,225,Near Mint,English,,,,,,,,
1,0,Dragonstorm,Modern Masters,111,Near Mint,English,,,,,,,,
1,0,Dramatic Entrance,Shadowmoor,111,Near Mint,English,,,,,,,,
1,0,Dread Cacodemon,Commander,79,Near Mint,English,,,,,,,,
5,0,Dreadbore,Return to Ravnica,157,Near Mint,English,,,,,,,,
1,0,Dream Fracture,Eventide,19,Near Mint,English,foil,,,,,,,
1,0,Dreg Mangler,Return to Ravnica,158,Near Mint,English,foil,,,,,,,
2,0,Drogskol Captain,Dark Ascension,136,Near Mint,English,,,,,,,,
1,0,Drove of Elves,Shadowmoor,112,Near Mint,Japanese,,,,,,,,
1,0,Drowned Catacomb,Magic 2010,224,Good (Lightly Played),English,,,,,,,,
1,0,Drowned Catacomb,Magic 2012,226,Good (Lightly Played),English,,,,,,,,
1,0,Druids' Repository,Avacyn Restored,176,Near Mint,English,,,,,,,,
1,0,Eagle of the Watch,Journey into Nyx,9,Near Mint,English,foil,,,,,,,
3,0,Earthquake,Magic 2010,134,Near Mint,English,,,,,,,,
1,0,Ebon Stronghold,Premium Deck Series: Graveborn,25,Near Mint,English,foil,,,,,,,
1,0,Echo Mage,Rise of the Eldrazi,64,Near Mint,English,,,,,,,,
2,0,Echoing Truth,Duel Decks: Elspeth vs. Tezzeret,66,Near Mint,English,,,,,,,,
1,0,Echoing Truth,Modern Masters,40,Near Mint,English,,,,,,,,
2,0,Eldrazi Monument,Zendikar,199,Near Mint,English,,,,,,,,
1,0,Electrolyze,Modern Masters,175,Near Mint,English,,,,,,,,
1,0,"Elspeth, Knight-Errant",Duel Decks: Elspeth vs. Tezzeret,1,Near Mint,English,foil,,,,,,,
1,0,"Elspeth, Knight-Errant",Modern Masters,13,Near Mint,English,,,,,,,,
1,0,Elvish Champion,Tenth Edition,261,Near Mint,English,foil,,,,,,,
1,0,Elvish Harbinger,Lorwyn,207,Near Mint,English,,,,,,,,
3,0,Elvish Spirit Guide,Alliances,69,Near Mint,English,,,,,,,,
1,0,Elvish Spirit Guide,"",,,,,,,,,,,
2,0,"Emeria, the Sky Ruin",Zendikar,213,Near Mint,English,,,,,,,,
3,0,Empty the Warrens,Modern Masters,112,Near Mint,English,,,,,,,,
1,0,Empty the Warrens,Time Spiral,152,Near Mint,English,,,,,,,,
3,0,"Emrakul, the Aeons Torn",Rise of the Eldrazi,4,Near Mint,English,,,,,,,,
1,0,Enclave Cryptologist,Rise of the Eldrazi,66,Played,English,foil,,,,,,,
1,0,Endless Ranks of the Dead,Innistrad,99,Near Mint,English,,,,,,,,
1,0,Energy Chamber,Duel Decks: Elspeth vs. Tezzeret,64,Near Mint,English,,,,,,,,
1,0,Engineered Explosives,Modern Masters,204,Near Mint,English,,,,,,,,
1,0,Entreat the Angels,Avacyn Restored,20,Near Mint,English,,,,,,,,
1,1,Eternity Vessel,Zendikar,200,Near Mint,Chinese,,,,,,,,0
2,0,Evacuation,Tenth Edition,83,Near Mint,English,,,,,,,,
2,0,Exhume,Premium Deck Series: Graveborn,17,Near Mint,English,foil,,,,,,,
1,0,Experiment One,Friday Night Magic,160,Near Mint,English,foil,,,,,,,
1,0,Extirpate,Modern Masters,84,Near Mint,English,,,,,,,,
1,0,Eye of the Storm,Ravnica: City of Guilds,48,Near Mint,English,,,,,,,,
8,4,Ezuri's Brigade,Scars of Mirrodin,121,Near Mint,English,,,,,,,,
2,0,"Ezuri, Renegade Leader",Scars of Mirrodin,119,Near Mint,English,,,,,,,,
1,0,Faceless Butcher,Premium Deck Series: Graveborn,3,Near Mint,English,foil,,,,,,,
1,0,Facevaulter,Modern Masters,85,Near Mint,English,foil,,,,,,,
1,0,Faerie Mechanist,Modern Masters,45,Near Mint,English,foil,,,,,,,
1,0,Faithless Looting,Duel Decks: Sorin vs. Tibalt,59,Near Mint,English,,,,,,,,
2,0,Faithless Looting,Dark Ascension,87,Near Mint,English,,,,,,,,
1,0,Fallen Angel,Eighth Edition,133,Near Mint,English,,,,,,,,
1,0,Farbog Boneflinger,Dark Ascension,61,Near Mint,English,foil,,,,,,,
1,0,Farseek,Friday Night Magic,154,Near Mint,English,foil,,,,,,,
1,0,Fate Transfer,Shadowmoor,161,Near Mint,English,foil,,,,,,,
1,0,Fathom Mage,Prerelease Events,61,Near Mint,English,foil,,,,,,,
1,0,Field of Souls,Duel Decks: Sorin vs. Tibalt,30,Near Mint,English,,,,,,,,
1,0,Fiend Hunter,Duel Decks: Sorin vs. Tibalt,11,Near Mint,English,,,,,,,,
1,0,Fiend of the Shadows,Dark Ascension,62,Near Mint,English,,,,,,,,
1,0,Fiendslayer Paladin,Magic 2014 Core Set,18,Mint,English,,,,,,,,
1,0,Fiery Fall,Modern Masters,113,Near Mint,English,foil,,,,,,,
1,0,Filigree Sages,Shards of Alara,44,Near Mint,English,foil,,,,,,,
2,0,Fire // Ice,Duel Decks: Izzet vs. Golgari,32,Near Mint,English,,,,,,,,
1,0,Fire Ambush,Portal Three Kingdoms,111,Near Mint,English,,,,,,,,
2,0,Fire Servant,Premium Deck Series: Fire and Lightning,15,Near Mint,English,foil,,,,,,,
2,0,Fireball,Premium Deck Series: Fire and Lightning,27,Near Mint,English,foil,,,,,,,
2,0,Firemane Angel,Ravnica: City of Guilds,205,Near Mint,English,,,,,,,,
2,0,Firemind's Foresight,Return to Ravnica,162,Near Mint,English,,,,,,,,
1,0,Firewing Phoenix,Magic 2013,131,Near Mint,English,,,,,,,,
1,0,Flame Javelin,Duel Decks: Sorin vs. Tibalt,70,Near Mint,English,,,,,,,,
1,0,Flame Javelin,Shadowmoor,92,Near Mint,Japanese,,,,,,,,
1,0,Flame Slash,Duel Decks: Sorin vs. Tibalt,60,Near Mint,English,,,,,,,,
1,1,Flameblast Dragon,Magic 2012,133,Near Mint,Chinese,,,,,,,,
1,0,Flameblast Dragon,Magic 2012,133,Near Mint,English,,,,,,,,
1,0,Flames of the Blood Hand,Premium Deck Series: Fire and Lightning,22,Near Mint,English,foil,,,,,,,
1,0,Flesh-Eater Imp,Mirrodin Besieged,42,Near Mint,English,foil,,,,,,,
1,1,Flickerwisp,Modern Masters,16,Near Mint,English,,,,,,,,0
4,0,Frantic Search,Urza's Legacy,32,Near Mint,English,,,,,,,,
1,0,Frontline Medic,Gatecrash,12,Near Mint,English,,,,,,,,
1,0,Furystoke Giant,Shadowmoor,93,Near Mint,English,,,,,,,,
